RAH79432	CDD:306555	26.686	341	225	10	186	520	138	459	4.06e-059	190
EKM77265	CDD:306555	23.937	447	306	14	43	471	5	435	3.00e-055	180
RAH79284	CDD:306555	21.250	480	331	13	41	499	6	459	1.25e-061	196
EKM78856	CDD:306555	26.205	477	311	13	51	508	7	461	3.00e-073	228
SAM09004	CDD:306555	26.998	463	300	18	42	489	2	441	1.36e-076	236
PYI31699	CDD:306555	24.307	469	313	15	225	663	1	457	8.01e-066	212
ORZ04757	CDD:306555	26.846	447	267	11	96	529	40	439	3.14e-082	252
ORZ17105	CDD:306555	26.180	466	287	18	44	478	2	441	2.61e-067	211
RAH85441	CDD:306555	27.848	474	310	12	36	494	5	461	7.05e-066	208
OAG21662	CDD:306555	26.349	482	315	13	35	497	1	461	4.96e-101	299
EKM77717	CDD:306555	35.714	168	105	3	79	245	270	435	7.32e-051	160
OAG19381	CDD:306555	23.651	482	304	23	66	519	3	448	4.13e-046	155
OAG17078	CDD:306555	32.365	482	287	13	31	497	1	458	1.98e-085	260
EKM77564	CDD:306555	22.931	423	280	15	106	510	67	461	5.37e-066	208
SAL98493	CDD:306555	24.486	486	323	12	803	1269	1	461	1.76e-067	222
EKM74729	CDD:306555	25.926	513	292	19	35	534	1	438	1.49e-067	214
SAL99656	CDD:306555	29.075	454	288	12	4	441	26	461	1.72e-083	252
ORZ12764	CDD:306555	27.876	452	290	13	79	507	23	461	3.24e-086	261
PSS27759	CDD:306555	27.253	466	321	9	50	503	2	461	2.50e-060	193
SAM07733	CDD:306555	29.138	429	272	11	88	504	31	439	7.71e-091	274
SAM06979	CDD:306555	25.000	484	310	15	46	504	1	456	3.80e-072	224
KYG50139	CDD:306555	28.051	467	298	14	41	496	1	440	6.07e-078	241
PYI36185	CDD:306555	24.263	441	319	11	81	514	1	433	1.47e-068	216
KYG44897	CDD:306555	28.631	482	283	18	76	527	4	454	5.52e-057	185
PYI31176	CDD:306555	24.841	471	296	19	44	488	6	444	1.70e-066	209
KYG46072	CDD:306555	28.337	487	303	13	33	499	1	461	1.07e-076	237
SAM08294	CDD:306555	24.586	362	225	18	234	570	88	426	1.68e-047	160
ORZ05075	CDD:306555	22.410	473	295	22	72	514	17	447	1.41e-035	125
SAM01588	CDD:306555	29.202	476	305	15	45	506	1	458	1.14e-090	273
KYG42128	CDD:306555	27.333	450	275	13	56	483	22	441	5.08e-069	216
ORZ18900	CDD:306555	29.885	435	267	12	118	536	40	452	1.84e-084	258
RAH85987	CDD:306555	27.231	437	266	14	76	491	27	432	2.33e-064	204
EKM79541	CDD:306555	24.748	497	298	17	32	517	2	433	1.68e-059	192
PYI32072	CDD:306555	25.424	472	321	16	81	537	2	457	2.84e-067	213
PSS18861	CDD:306555	27.015	459	289	12	30	466	1	435	6.34e-082	251
SAL94932	CDD:306555	24.342	456	313	18	14	457	6	441	7.84e-058	185
KYG50123	CDD:306555	28.395	486	305	12	25	493	2	461	1.24e-071	224
KYG40613	CDD:306555	25.490	357	240	8	30	377	99	438	5.03e-065	202
OAG13248	CDD:306555	27.629	485	308	15	31	496	1	461	8.60e-070	219
KYG42037	CDD:306555	24.476	429	290	14	65	480	28	435	8.29e-075	231
SAL98222	CDD:306555	29.176	449	278	17	89	514	2	433	1.05e-102	320
ORY99476	CDD:306555	29.673	428	268	10	97	511	46	453	2.26e-093	280
KYG45217	CDD:306555	23.319	476	307	19	44	499	2	439	3.75e-057	185
OAG23379	CDD:306555	24.473	474	315	14	39	503	5	444	1.37e-063	202
ORZ06033	CDD:306555	31.490	416	246	13	84	482	46	439	1.28e-085	259
KXL46836	CDD:306555	36.872	179	99	5	7	183	292	458	1.27e-043	139
SAM08654	CDD:306555	27.635	427	274	11	74	477	22	436	5.68e-081	247
PWN86825	CDD:306555	24.946	461	284	17	46	486	1	419	1.14e-050	167
ORZ05055	CDD:306555	23.404	517	328	17	34	539	1	460	1.06e-060	195
KYG46240	CDD:306555	23.909	481	326	17	45	514	6	457	3.98e-063	201
SAM02647	CDD:306555	27.005	374	239	15	129	486	101	456	1.04e-058	188
RAH75770	CDD:306555	28.051	467	300	14	39	487	1	449	1.41e-077	239
RAH76966	CDD:306555	20.413	436	263	16	63	452	27	424	3.01e-032	115
RAH79881	CDD:306555	22.343	461	286	18	94	524	15	433	9.85e-044	148
RAH80287	CDD:306555	38.272	81	36	4	12	88	342	412	2.27e-018	74.6
RAH79186	CDD:306555	22.936	436	274	18	70	465	16	429	1.97e-040	138
RAH78566	CDD:306555	28.721	477	273	22	44	489	2	442	8.07e-069	215
EKM77450	CDD:306555	23.669	507	319	18	44	534	5	459	5.39e-078	241
OAG14804	CDD:306555	25.205	488	317	15	52	521	1	458	2.92e-069	217
PSS27034	CDD:306555	27.716	451	270	21	75	492	30	457	1.54e-062	199
KYG44587	CDD:306555	16.258	326	211	12	9	307	92	382	5.06e-009	43.0
KYG46436	CDD:306555	27.875	287	186	9	223	501	188	461	1.10e-039	137
KYG40697	CDD:306555	25.054	459	280	13	47	474	14	439	1.25e-062	199
PYI35222	CDD:306555	37.436	195	113	6	2	189	266	458	1.96e-053	165
KXL49674	CDD:306555	21.315	502	320	20	58	545	1	441	6.39e-045	153
KYG41276	CDD:306555	18.862	334	206	14	152	455	125	423	3.83e-021	82.3
KYG43039	CDD:306555	27.879	165	111	5	1	164	200	357	6.97e-026	89.6
KYG48786	CDD:306555	25.575	391	234	14	103	471	77	432	1.14e-041	142
EKM83206	CDD:306555	24.396	455	286	18	39	463	28	454	1.79e-035	124
KYG44365	CDD:306555	30.154	325	210	11	7	322	120	436	8.63e-059	195
KYG50242	CDD:306555	23.543	429	267	15	98	494	28	427	1.18e-041	143
KYG45261	CDD:306555	22.424	330	220	11	180	492	140	450	2.74e-022	85.8
KYG46162	CDD:306555	24.473	474	312	12	39	484	1	456	1.24e-067	212
KYG47951	CDD:306555	23.414	457	272	17	74	497	21	432	4.51e-051	168
KYG47179	CDD:306555	23.980	196	121	8	191	384	283	452	6.78e-024	89.6
KYG48852	CDD:306555	26.652	454	302	16	60	498	24	461	4.75e-070	219
PWN87633	CDD:306555	33.684	95	47	4	889	973	327	415	3.58e-013	58.8
KYG47263	CDD:306555	25.761	427	288	8	76	485	28	442	6.93e-077	237
ORZ13645	CDD:306555	29.646	452	286	12	18	461	34	461	8.67e-089	266
EKM77631	CDD:306555	25.833	480	312	13	29	486	1	458	6.08e-076	235
KYG44934	CDD:306555	22.851	442	293	9	64	482	28	444	8.44e-069	215
KYG44351	CDD:306555	25.499	451	279	15	54	480	18	435	5.14e-057	184
KYG44645	CDD:306555	25.000	128	65	9	201	302	289	411	1.50e-010	47.7
RAH84595	CDD:306555	26.293	464	291	13	61	499	14	451	5.19e-052	171
RAH84419	CDD:306555	23.843	281	185	13	249	522	203	461	3.59e-025	94.7
RAH81743	CDD:306555	23.729	472	323	16	36	491	2	452	2.24e-068	214
RAH83628	CDD:306555	21.593	477	310	16	49	505	13	445	3.56e-050	166
SAM07738	CDD:306555	28.361	476	313	12	190	652	1	461	1.78e-089	274
RAH78449	CDD:306555	18.406	527	315	20	855	1347	4	449	3.68e-029	109
RAH79941	CDD:306555	24.779	226	142	11	322	544	259	459	7.66e-023	87.7
EKM84417	CDD:306555	25.651	499	316	12	49	538	9	461	1.87e-085	261
EKM78269	CDD:306555	39.241	79	48	0	1	79	288	366	1.43e-026	87.7
EKM75106	CDD:306555	28.936	470	264	18	110	556	28	450	2.32e-064	205
PYI34497	CDD:306555	22.391	460	305	16	72	506	19	451	7.86e-052	170
PYI35924	CDD:306555	26.850	473	303	21	6	453	2	456	2.24e-053	173
PYI36688	CDD:306555	25.282	443	282	16	57	478	13	427	6.30e-051	168
PYI36989	CDD:306555	21.700	447	313	15	140	564	28	459	5.53e-033	118
OAG13581	CDD:306555	28.326	466	297	13	28	465	1	457	1.44e-068	215
PYI31587	CDD:306555	26.316	171	104	7	346	507	282	439	1.61e-019	77.3
PYI31643	CDD:306555	24.390	410	268	15	129	524	79	460	2.44e-046	156
PYI31075	CDD:306555	22.727	484	309	17	35	497	2	441	2.08e-040	139
PYI28906	CDD:306555	24.672	458	279	16	133	564	23	440	6.79e-058	188
RAH75772	CDD:306555	28.279	488	297	15	33	498	1	457	9.38e-082	250
RAH84603	CDD:306555	23.195	457	306	14	30	462	1	436	2.04e-058	187
RAH80155	CDD:306555	26.254	339	222	15	5	332	113	434	1.85e-040	135
PYI36550	CDD:306555	30.090	442	238	18	103	514	46	446	1.70e-060	194
PYI33524	CDD:306555	28.009	457	260	16	12	443	21	433	2.86e-084	256
PYI33373	CDD:306555	26.500	200	133	6	232	426	252	442	1.17e-024	92.3
PYI33179	CDD:306555	27.341	267	174	8	230	491	196	447	1.42e-031	113
PYI33865	CDD:306555	26.802	444	274	18	62	477	12	432	5.69e-062	197
PSS28464	CDD:306555	25.000	448	303	12	44	473	3	435	2.96e-071	222
PYI30914	CDD:306555	18.987	316	225	11	52	345	9	315	4.99e-015	62.3
PYI32403	CDD:306555	21.899	516	300	25	33	528	2	434	3.52e-034	122
PYI31609	CDD:306555	26.201	458	285	19	30	466	3	428	1.35e-058	188
KYG43809	CDD:306555	24.419	430	247	19	65	448	30	427	2.86e-042	143
PYI28952	CDD:306555	25.826	484	306	14	56	513	5	461	1.10e-079	244
KYG42455	CDD:306555	24.074	486	285	15	33	469	2	452	7.00e-047	157
PYI29003	CDD:306555	24.138	290	178	12	205	484	179	436	4.10e-027	100
KYG48692	CDD:306555	23.725	451	286	17	37	462	3	420	4.37e-044	148
PYI35073	CDD:306555	24.078	461	290	13	37	459	23	461	7.95e-061	193
EKM82076	CDD:306555	24.896	482	313	10	33	489	1	458	6.61e-076	234
EKM78213	CDD:306555	26.269	453	303	12	37	475	5	440	2.40e-067	212
KXL51043	CDD:306555	19.262	488	303	27	32	480	1	436	1.92e-027	101
KXL49142	CDD:306555	32.759	174	106	5	165	337	269	432	2.18e-029	105
PYI33825	CDD:306555	23.516	455	290	15	24	441	2	435	3.32e-042	143
PYI33404	CDD:306555	23.778	450	307	11	50	475	24	461	2.29e-061	195
PYI32539	CDD:306555	23.793	290	183	13	247	522	196	461	9.63e-032	114
RAH79333	CDD:306555	25.325	462	309	14	56	508	1	435	1.38e-078	242
RAH82426	CDD:306555	22.798	386	234	15	156	514	102	450	2.09e-036	128
RAH82005	CDD:306555	28.195	493	290	14	34	498	1	457	8.87e-081	247
KYG45365	CDD:306555	26.585	410	231	17	134	508	83	457	2.74e-055	180
RAH85450	CDD:306555	24.379	443	269	21	63	475	7	413	8.84e-046	154
RAH77722	CDD:306555	18.661	493	291	19	88	551	30	441	5.69e-040	138
RAH79247	CDD:306555	26.959	434	284	14	67	478	19	441	4.47e-082	250
RAH78823	CDD:306555	28.877	187	120	5	233	419	262	435	3.52e-031	111
SAM02584	CDD:306555	26.931	505	314	14	76	569	1	461	9.43e-094	283
PYI35505	CDD:306555	25.000	200	120	6	221	405	256	440	1.81e-016	67.3
PYI34698	CDD:306555	31.875	160	78	9	910	1048	301	450	7.08e-015	64.2
SAM08470	CDD:306555	20.614	456	315	14	41	473	2	433	1.06e-041	142
PYI33751	CDD:306555	23.353	501	287	17	34	505	3	435	7.64e-055	179
PYI28889	CDD:306555	26.116	448	283	19	53	473	1	427	4.46e-050	166
PYI28844	CDD:306555	25.380	461	300	17	46	484	2	440	2.10e-069	217
PYI33000	CDD:306555	19.847	131	82	6	961	1072	329	455	1.60e-006	37.6
RAH81749	CDD:306555	26.882	465	277	20	23	453	22	457	8.55e-056	180
RAH80855	CDD:306555	25.229	436	264	19	75	471	19	431	7.97e-045	151
EKM79525	CDD:306555	26.397	519	322	16	35	551	1	461	2.14e-071	224
EKM75454	CDD:306555	27.975	479	295	15	60	526	1	441	1.26e-077	240
EKM83185	CDD:306555	24.276	449	294	15	80	505	36	461	1.10e-039	137
EKM80269	CDD:306555	28.448	464	301	15	42	489	10	458	1.32e-058	188
KYG46886	CDD:306555	23.884	448	299	18	77	501	26	454	2.15e-062	199
KYG41184	CDD:306555	24.550	444	305	13	70	494	28	460	4.44e-066	208
KXL43253	CDD:306555	25.397	189	99	8	188	369	281	434	6.40e-019	74.6
KYG43984	CDD:306555	23.556	450	284	15	13	422	1	430	1.02e-062	198
KYG47811	CDD:306555	21.652	448	243	18	1	363	29	453	1.95e-030	108
KYG43148	CDD:306555	25.745	470	283	17	101	551	37	459	3.63e-083	254
KYG48945	CDD:306555	20.988	486	304	22	40	500	3	433	5.39e-053	174
KYG50211	CDD:306555	21.224	245	160	10	2	228	138	367	3.00e-013	55.4
RAH79945	CDD:306555	21.766	487	295	19	47	501	2	434	2.72e-052	172
KYG41641	CDD:306555	23.941	472	295	14	39	478	6	445	8.34e-067	210
RAH84025	CDD:306555	25.248	404	249	16	28	407	87	461	6.99e-055	176
PYI31885	CDD:306555	20.367	491	307	20	60	528	6	434	2.11e-033	119
RAH79071	CDD:306555	25.055	451	285	17	61	483	28	453	3.69e-051	168
RAH79304	CDD:306555	23.649	444	303	13	92	509	2	435	1.36e-066	210
PYI33103	CDD:306555	23.718	468	299	14	44	486	5	439	2.09e-062	199
RAH76706	CDD:306555	24.648	426	285	11	75	479	31	441	7.26e-054	176
RAH76349	CDD:306555	27.049	366	244	12	133	493	89	436	7.52e-052	170
RAH76950	CDD:306555	25.610	410	262	16	51	426	24	424	3.53e-040	137
PYI31038	CDD:306555	23.060	451	296	16	62	492	20	439	9.74e-053	173
PYI31354	CDD:306555	27.378	431	285	15	39	452	9	428	9.17e-065	205
PYI32696	CDD:306555	36.047	86	53	1	195	280	360	443	1.03e-016	66.5
PYI35150	CDD:306555	24.658	511	282	20	34	518	1	434	7.38e-045	152
PYI33243	CDD:306555	27.333	450	287	14	64	498	29	453	7.02e-079	242
PYI33260	CDD:306555	29.762	252	143	12	214	458	218	442	4.41e-030	109
